order_id,order_date,customer,region,category,product,quantity,unit_price,revenue
1760,2024-06-14,Customer 10,North,Electronics,4K Monitor,2,154.47,308.94
1730,2024-06-05,Customer 37,East,Home & Kitchen,Coffee Maker,1,64.62,64.62
2323,2024-10-22,Customer 60,North,Apparel,Running Shoes,4,56.03,224.12
1083,2024-01-18,Customer 12,East,Sports,Dumbbell Set,1,64.89,64.89
1870,2024-07-10,Customer 39,West,Electronics,Wireless Earbuds,2,101.13,202.26
1004,2024-01-01,Customer 31,East,Home & Kitchen,Blender,4,83.74,334.96
2539,2024-12-11,Customer 22,South,Electronics,Bluetooth Speaker,2,113.24,384.36
1656,2024-05-19,Customer 17,East,Home & Kitchen,Air Fryer,4,83.69,334.76
1529,2024-04-20,Customer 56,East,Electronics,Bluetooth Speaker,3,132.14,396.42
2038,2024-08-18,Customer 58,South,Apparel,Cotton T-Shirt,2,40.25,80.5
1581,2024-05-01,Customer 11,South,Books,Self-Help Guide,1,22.0,22.0
1290,2024-03-01,Customer 49,North,Home & Kitchen,Blender,4,84.16,336.64
2167,2024-09-18,Customer 21,South,Apparel,Cotton T-Shirt,2,57.27,2838.9089538276953
1861,2024-07-08,Customer 25,South,Sports,Tennis Racket,3,52.44,157.32
1349,2024-03-14,Customer 27,West,Sports,Yoga Mat,3,53.55,160.65
1031,2024-01-08,Customer 19,West,Books,Cookbook,1,21.18,21.18
1322,2024-03-07,Customer 2,South,Home & Kitchen,Air Fryer,4,65.89,263.56
1565,2024-04-28,Customer 25,West,Apparel,Running Shoes,3,36.88,110.64
1204,2024-02-13,Customer 45,East,Books,Self-Help Guide,2,15.67,31.34
2303,2024-10-18,,East,Home & Kitchen,Air Fryer,2,89.47,178.94
1304,2024-03-04,Customer 23,West,Home & Kitchen,Air Fryer,1,60.16,60.16
2521,2024-12-07,Customer 27,East,Apparel,Wool Sweater,2,53.49,152.1
1293,2024-03-02,Customer 43,North,Apparel,Cotton T-Shirt,3,53.25,159.75
1669,2024-05-22,Customer 52,North,Books,Biography,1,16.98,16.98
2219,2024-09-29,Customer 36,South,Home & Kitchen,Air Fryer,2,75.67,151.34
1800,2024-06-22,Customer 14,West,Sports,Cycling Helmet,3,52.06,156.18
2012,2024-08-12,Customer 36,South,Apparel,Wool Sweater,3,42.73,128.19
1689,2024-05-26,Customer 56,North,Electronics,Bluetooth Speaker,3,132.35,397.05
2386,2024-11-04,Customer 5,East,Sports,Yoga Mat,1,59.51,97.3
1515,2024-04-17,Customer 25,North,Sports,Tennis Racket,4,70.58,282.32
1978,2024-08-05,Customer 17,West,Home & Kitchen,Blender,1,88.87,88.87
2452,2024-11-20,Customer 3,South,Sports,Yoga Mat,1,64.59,90.92
2144,2024-09-12,Customer 25,South,Home & Kitchen,Coffee Maker,2,77.86,155.72
2553,2024-12-14,Customer 13,South,Electronics,Bluetooth Speaker,2,134.82,426.85
1221,2024-02-16,Customer 45,South,Books,Self-Help Guide,4,23.38,93.52
2437,2024-11-17,Customer 7,North,Books,Biography,3,20.68,91.81
1725,2024-06-04,Customer 58,South,Electronics,Bluetooth Speaker,3,152.18,456.54
1612,2024-05-08,Customer 40,South,Sports,Tennis Racket,3,45.36,136.08
2439,2024-11-17,Customer 34,South,Apparel,Wool Sweater,4,46.48,304.94
1616,2024-05-09,Customer 4,South,Sports,Dumbbell Set,2,71.12,142.24
2461,2024-11-23,Customer 56,West,Sports,Dumbbell Set,1,64.03,96.7
1085,2024-01-19,Customer 3,South,Apparel,Denim Jacket,2,48.2,96.4
2142,2024-09-11,Customer 6,East,Home & Kitchen,Cookware Set,4,57.61,230.44
1549,2024-04-24,Customer 36,West,Apparel,Wool Sweater,4,53.71,214.84
1620,2024-05-10,Customer 45,North,Apparel,Denim Jacket,3,53.75,161.25
2135,2024-09-10,Customer 3,North,Books,Biography,3,21.0,63.0
2104,2024-09-02,Customer 15,South,Home & Kitchen,Coffee Maker,3,87.3,261.9
2175,2024-09-19,Customer 25,West,Apparel,Denim Jacket,2,46.68,93.36
1112,2024-01-25,Customer 23,West,Home & Kitchen,Air Fryer,3,84.13,252.39
1350,2024-03-14,Customer 43,South,Books,Fiction Novel,4,14.55,58.2
2109,2024-09-03,Customer 20,East,Electronics,Laptop Stand,3,137.56,412.68
